"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"base","metric_clustered","none",500,500,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_clustered","random_60",500,500,"double","clustered",TRUE,1,0.6011,"jv","default","no earlier rule applies"
"base","metric_clustered","random_25",500,500,"double","clustered",TRUE,1,0.2517,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","block_4",500,500,"double","clustered",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","none",500,1500,"integer","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_60",500,1500,"integer","uniform",FALSE,1,0.599,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_25",500,1500,"integer","uniform",FALSE,1,0.2502,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","block_4",500,1500,"integer","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","none",500,1500,"double","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_60",500,1500,"double","uniform",FALSE,1,0.6006,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_25",500,1500,"double","uniform",FALSE,1,0.2505,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","block_4",500,1500,"double","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","binary","none",500,1500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,1500,"binary","binary",FALSE,1,0.6002,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,1500,"binary","binary",FALSE,1,0.2512,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,1500,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,1500,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,1500,"constant","degenerate",FALSE,1,0.6007,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,1500,"constant","degenerate",FALSE,1,0.2499,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,1500,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,1500,"integer","tied",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","tied","random_60",500,1500,"integer","tied",FALSE,1,0.6007,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","tied","random_25",500,1500,"integer","tied",FALSE,1,0.2501,"lapmod","sparse","more than half the entries non-finite"
"base","tied","block_4",500,1500,"integer","tied",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","none",500,1500,"double","heavy-tailed",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","heavy_tailed","random_60",500,1500,"double","heavy-tailed",FALSE,1,0.6001,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","heavy_tailed","random_25",500,1500,"double","heavy-tailed",FALSE,1,0.2507,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","block_4",500,1500,"double","heavy-tailed",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","none",500,1500,"double","uniform",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_60",500,1500,"double","uniform",TRUE,1,0.6008,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_25",500,1500,"double","uniform",TRUE,1,0.2504,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","block_4",500,1500,"double","uniform",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","none",500,1500,"double","clustered",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_60",500,1500,"double","clustered",TRUE,1,0.6,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_25",500,1500,"double","clustered",TRUE,1,0.2506,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","block_4",500,1500,"double","clustered",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","none",500,5000,"integer","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_60",500,5000,"integer","uniform",FALSE,1,0.5998,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_25",500,5000,"integer","uniform",FALSE,1,0.2503,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","block_4",500,5000,"integer","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","none",500,5000,"double","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_60",500,5000,"double","uniform",FALSE,1,0.5999,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_25",500,5000,"double","uniform",FALSE,1,0.2504,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","block_4",500,5000,"double","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","binary","none",500,5000,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,5000,"binary","binary",FALSE,1,0.6,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,5000,"binary","binary",FALSE,1,0.2504,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,5000,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,5000,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,5000,"constant","degenerate",FALSE,1,0.6004,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,5000,"constant","degenerate",FALSE,1,0.2502,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,5000,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,5000,"integer","tied",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","tied","random_60",500,5000,"integer","tied",FALSE,1,0.6003,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","tied","random_25",500,5000,"integer","tied",FALSE,1,0.2505,"lapmod","sparse","more than half the entries non-finite"
"base","tied","block_4",500,5000,"integer","tied",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","none",500,5000,"double","heavy-tailed",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","heavy_tailed","random_60",500,5000,"double","heavy-tailed",FALSE,1,0.6003,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","heavy_tailed","random_25",500,5000,"double","heavy-tailed",FALSE,1,0.2502,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","block_4",500,5000,"double","heavy-tailed",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","none",500,5000,"double","uniform",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_60",500,5000,"double","uniform",TRUE,1,0.5999,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_25",500,5000,"double","uniform",TRUE,1,0.2503,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","block_4",500,5000,"double","uniform",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","none",500,5000,"double","clustered",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_60",500,5000,"double","clustered",TRUE,1,0.6005,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_25",500,5000,"double","clustered",TRUE,1,0.2501,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","block_4",500,5000,"double","clustered",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","none",1500,1500,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","int_uniform","random_25",1500,1500,"integer","uniform",FALSE,1,0.2507,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","none",1500,1500,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_25",1500,1500,"double","uniform",FALSE,1,0.2508,"lapmod","sparse","more than half the entries non-finite"
"large","binary","none",1500,1500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1500,1500,"binary","binary",FALSE,1,0.2507,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1500,1500,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_25",1500,1500,"double","heavy-tailed",FALSE,1,0.2501,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","none",1500,1500,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"large","metric_clustered","random_25",1500,1500,"double","clustered",TRUE,1,0.2508,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","none",1500,4500,"integer","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","int_uniform","random_25",1500,4500,"integer","uniform",FALSE,1,0.2502,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","none",1500,4500,"double","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","dbl_uniform","random_25",1500,4500,"double","uniform",FALSE,1,0.2502,"lapmod","sparse","more than half the entries non-finite"
"large","binary","none",1500,4500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1500,4500,"binary","binary",FALSE,1,0.2501,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1500,4500,"double","heavy-tailed",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","heavy_tailed","random_25",1500,4500,"double","heavy-tailed",FALSE,1,0.2498,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","none",1500,4500,"double","clustered",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","metric_clustered","random_25",1500,4500,"double","clustered",TRUE,1,0.2503,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","none",1000,10000,"integer","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","int_uniform","random_25",1000,10000,"integer","uniform",FALSE,1,0.2502,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","none",1000,10000,"double","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","dbl_uniform","random_25",1000,10000,"double","uniform",FALSE,1,0.2501,"lapmod","sparse","more than half the entries non-finite"
"large","binary","none",1000,10000,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1000,10000,"binary","binary",FALSE,1,0.2499,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1000,10000,"double","heavy-tailed",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","heavy_tailed","random_25",1000,10000,"double","heavy-tailed",FALSE,1,0.2503,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","none",1000,10000,"double","clustered",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"large","metric_clustered","random_25",1000,10000,"double","clustered",TRUE,1,0.2501,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_05",500,500,"integer","uniform",FALSE,1,0.0522,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_01",500,500,"integer","uniform",FALSE,1,0.0118,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_05",500,500,"double","uniform",FALSE,1,0.0527,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_01",500,500,"double","uniform",FALSE,1,0.0121,"lapmod","sparse","more than half the entries non-finite"
"base","binary","random_05",500,500,"binary","binary",FALSE,1,0.0519,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,500,"binary","binary",FALSE,1,0.0119,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,500,"constant","degenerate",FALSE,1,0.0521,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,500,"constant","degenerate",FALSE,1,0.0119,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","random_05",500,500,"integer","tied",FALSE,1,0.0519,"lapmod","sparse","more than half the entries non-finite"
"base","tied","random_01",500,500,"integer","tied",FALSE,1,0.0118,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_05",500,500,"double","heavy-tailed",FALSE,1,0.0512,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_01",500,500,"double","heavy-tailed",FALSE,1,0.012,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_05",500,500,"double","uniform",TRUE,1,0.0528,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_01",500,500,"double","uniform",TRUE,1,0.0122,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_05",500,500,"double","clustered",TRUE,1,0.0519,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_01",500,500,"double","clustered",TRUE,1,0.0121,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_05",500,1500,"integer","uniform",FALSE,1,0.0507,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_01",500,1500,"integer","uniform",FALSE,1,0.0107,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_05",500,1500,"double","uniform",FALSE,1,0.0509,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_01",500,1500,"double","uniform",FALSE,1,0.0106,"lapmod","sparse","more than half the entries non-finite"
"base","binary","random_05",500,1500,"binary","binary",FALSE,1,0.0507,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,1500,"binary","binary",FALSE,1,0.0106,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,1500,"constant","degenerate",FALSE,1,0.0511,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,1500,"constant","degenerate",FALSE,1,0.0107,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","random_05",500,1500,"integer","tied",FALSE,1,0.0507,"lapmod","sparse","more than half the entries non-finite"
"base","tied","random_01",500,1500,"integer","tied",FALSE,1,0.0107,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_05",500,1500,"double","heavy-tailed",FALSE,1,0.0504,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_01",500,1500,"double","heavy-tailed",FALSE,1,0.0106,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_05",500,1500,"double","uniform",TRUE,1,0.0507,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_01",500,1500,"double","uniform",TRUE,1,0.0108,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_05",500,1500,"double","clustered",TRUE,1,0.0507,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_01",500,1500,"double","clustered",TRUE,1,0.0107,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_05",500,5000,"integer","uniform",FALSE,1,0.05,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","random_01",500,5000,"integer","uniform",FALSE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_05",500,5000,"double","uniform",FALSE,1,0.0504,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","random_01",500,5000,"double","uniform",FALSE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"base","binary","random_05",500,5000,"binary","binary",FALSE,1,0.0502,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,5000,"binary","binary",FALSE,1,0.0102,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,5000,"constant","degenerate",FALSE,1,0.05,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,5000,"constant","degenerate",FALSE,1,0.0101,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","random_05",500,5000,"integer","tied",FALSE,1,0.0503,"lapmod","sparse","more than half the entries non-finite"
"base","tied","random_01",500,5000,"integer","tied",FALSE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_05",500,5000,"double","heavy-tailed",FALSE,1,0.0504,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","random_01",500,5000,"double","heavy-tailed",FALSE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_05",500,5000,"double","uniform",TRUE,1,0.0503,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","random_01",500,5000,"double","uniform",TRUE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_05",500,5000,"double","clustered",TRUE,1,0.0504,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","random_01",500,5000,"double","clustered",TRUE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","random_01",1500,1500,"integer","uniform",FALSE,1,0.0105,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","random_01",1500,1500,"double","uniform",FALSE,1,0.0106,"lapmod","sparse","more than half the entries non-finite"
"large","binary","random_01",1500,1500,"binary","binary",FALSE,1,0.0107,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","random_01",1500,1500,"double","heavy-tailed",FALSE,1,0.0107,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","random_01",1500,1500,"double","clustered",TRUE,1,0.0107,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","random_01",1500,4500,"integer","uniform",FALSE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","random_01",1500,4500,"double","uniform",FALSE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"large","binary","random_01",1500,4500,"binary","binary",FALSE,1,0.0102,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","random_01",1500,4500,"double","heavy-tailed",FALSE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","random_01",1500,4500,"double","clustered",TRUE,1,0.0102,"lapmod","sparse","more than half the entries non-finite"
"large","int_uniform","random_01",1000,10000,"integer","uniform",FALSE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"large","dbl_uniform","random_01",1000,10000,"double","uniform",FALSE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"large","binary","random_01",1000,10000,"binary","binary",FALSE,1,0.0101,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","random_01",1000,10000,"double","heavy-tailed",FALSE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
"large","metric_clustered","random_01",1000,10000,"double","clustered",TRUE,1,0.0101,"lapmod","sparse","more than half the entries non-finite"
